brand,name,shifterPartNumber,shifterName,shifterBrand,shifterSpeeds,shifterCablePull,shifterType,shifterSide,derailleurPartNumber,derailleurName,derailleurBrand,derailleurDesignSpeeds,derailleurPullRatio,derailleurSupportsMultipleFrontChainrings,cassettePartNumber,cassetteName,cassetteBrand,cassetteSpeeds,cassettePitch,cassetteMinMaxToothAvailable,cassetteMaxToothAvailable,confidence,supported,confidence_too_low,max_chain_angle_too_high,barrel_adjuster_too_low,least_pull_too_low,not_enough_range_on_derailleur,smallest_cassette_too_big_official_max_tooth,smallest_cassette_too_big_unofficial_max_tooth,smallest_cassette_too_big_with_goat_link,smallest_cassette_too_big,maxChainAngle,motionMultiplier,numberOfShiftsMatchesCogs,moreCogsThanShifts,failedAnyCriteria
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M4120,Deore,Shimano,11,1.07,True,CS-HG-500-10,Shimano 10-Speed,Shimano,10,3.96,,34,4.9199520467272025e-15,False,True,True,False,False,False,False,,,False,2.6518870766221703,1.2580870763573906,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M4120,Deore,Shimano,11,1.07,True,CS-PG-1050-A1,SRAM 10-Speed,SRAM,10,4.05,,36,4.705815723407671e-19,False,True,True,False,False,False,False,,,False,3.207898728035819,1.2866799644564222,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M4120,Deore,Shimano,11,1.07,True,sram-11-speed,SRAM 11-speed,SRAM,11,3.72,,51,2.9834410587274704e-07,False,True,True,False,False,False,False,,,False,1.7074791869379997,1.1818393747599731,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M4120,Deore,Shimano,11,1.07,True,shimano-11-speed,Shimano 11-speed,Shimano,11,3.75,,51,4.6964718831967024e-08,False,True,True,False,False,False,False,,,False,1.8147409968377892,1.1913703374596503,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/12-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M4120,Deore,Shimano,11,1.07,True,CS-PG-1210-A1,Eagle 12-Speed,SRAM,12,3.65,50,52,1.4513092083642504e-05,False,True,True,False,False,False,True,,,True,1.5247817006126185,1.1596004617940596,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/9-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M5120,Deore,Shimano,11,1.1,True,CS-LG300-9,LinkGlide 9-Speed,Shimano,9,4.05,36,46,1.5992208493777755e-14,False,True,True,False,False,False,False,,,False,2.675113242500787,1.253891639481249,True,False,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M5120,Deore,Shimano,11,1.1,True,generic-10-speed,Generic 10-Speed,Generic,10,3.95,,48,4.6568501945236134e-11,False,True,True,False,False,False,False,,,False,2.112548765831862,1.2229313520866503,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M5120,Deore,Shimano,11,1.1,True,CS-LG300-10,LinkGlide 10-Speed,Shimano,10,4.05,39,48,1.5992208493777755e-14,False,True,True,False,False,False,False,,,False,2.6453964752769448,1.253891639481249,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M5120,Deore,Shimano,11,1.1,True,CS-HG-500-10,Shimano 10-Speed,Shimano,10,3.96,,34,2.2121017774375363e-11,False,True,True,False,False,False,False,,,False,2.16017398594905,1.2260273808261102,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M5120,Deore,Shimano,11,1.1,True,CS-PG-1050-A1,SRAM 10-Speed,SRAM,10,4.05,,36,1.5992208493777755e-14,False,True,True,False,False,False,False,,,False,2.6575675238945684,1.253891639481249,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M5120,Deore,Shimano,11,1.1,True,sram-11-speed,SRAM 11-speed,SRAM,11,3.72,,51,4.978699006466678e-05,False,True,False,False,False,False,False,,,False,1.3054168351064288,1.1517226910790732,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M5120,Deore,Shimano,11,1.1,True,shimano-11-speed,Shimano 11-speed,Shimano,11,3.75,,51,1.1547643500336787e-05,False,True,True,False,False,False,False,,,False,1.4137518865714473,1.1610107772974527,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/12-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M5120,Deore,Shimano,11,1.1,True,CS-PG-1210-A1,Eagle 12-Speed,SRAM,12,3.65,50,52,0.0010083719923754796,False,True,False,False,False,False,True,,,True,1.143734472926169,1.130050489902854,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 12-Speed derailleur/9-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M6100,Deore,Shimano,12,1.07,False,CS-LG300-9,LinkGlide 9-Speed,Shimano,9,4.05,36,46,1.744029854946989e-19,False,True,True,False,False,False,False,,,False,2.501677453938972,1.2897880925783216,True,False,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 12-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M6100,Deore,Shimano,12,1.07,False,generic-10-speed,Generic 10-Speed,Generic,10,3.95,,48,5.1347663042161376e-15,False,True,True,False,False,False,False,,,False,2.05052961939619,1.2579414730084866,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 12-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M6100,Deore,Shimano,12,1.07,False,CS-LG300-10,LinkGlide 10-Speed,Shimano,10,4.05,39,48,1.744029854946989e-19,False,True,True,False,False,False,False,,,False,2.4774087066421897,1.2897880925783216,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 12-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M6100,Deore,Shimano,12,1.07,False,CS-HG-500-10,Shimano 10-Speed,Shimano,10,3.96,,34,2.0448440140387426e-15,False,True,True,False,False,False,False,,,False,2.087242196772109,1.2611261349654699,False,True,True
